season,competition,event,instance_of_event_in_competition,gender,round,race,Place,Start Pos.,Warn.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.,Points,laps_of_split_data,lap_1_position,lap_1_laptime,lap_1_elapsedtime,lap_2_position,lap_2_laptime,lap_2_elapsedtime,lap_3_position,lap_3_laptime,lap_3_elapsedtime,lap_4_position,lap_4_laptime,lap_4_elapsedtime,lap_5_position,lap_5_laptime,lap_5_elapsedtime,lap_6_position,lap_6_laptime,lap_6_elapsedtime,lap_7_position,lap_7_laptime,lap_7_elapsedtime,lap_8_position,lap_8_laptime,lap_8_elapsedtime,lap_9_position,lap_9_laptime,lap_9_elapsedtime,lap_10_position,lap_10_laptime,lap_10_elapsedtime,lap_11_position,lap_11_laptime,lap_11_elapsedtime,lap_12_position,lap_12_laptime,lap_12_elapsedtime,lap_13_position,lap_13_laptime,lap_13_elapsedtime,lap_14_position,lap_14_laptime,lap_14_elapsedtime,lap_15_position,lap_15_laptime,lap_15_elapsedtime,lap_16_position,lap_16_laptime,lap_16_elapsedtime,lap_17_position,lap_17_laptime,lap_17_elapsedtime,lap_18_position,lap_18_laptime,lap_18_elapsedtime,lap_19_position,lap_19_laptime,lap_19_elapsedtime,lap_20_position,lap_20_laptime,lap_20_elapsedtime,lap_21_position,lap_21_laptime,lap_21_elapsedtime,lap_22_position,lap_22_laptime,lap_22_elapsedtime,lap_23_position,lap_23_laptime,lap_23_elapsedtime,lap_24_position,lap_24_laptime,lap_24_elapsedtime,lap_25_position,lap_25_laptime,lap_25_elapsedtime,lap_26_position,lap_26_laptime,lap_26_elapsedtime,lap_27_position,lap_27_laptime,lap_27_elapsedtime,lap_28_position,lap_28_laptime,lap_28_elapsedtime,lap_29_position,lap_29_laptime,lap_29_elapsedtime,lap_30_position,lap_30_laptime,lap_30_elapsedtime,lap_31_position,lap_31_laptime,lap_31_elapsedtime,lap_32_position,lap_32_laptime,lap_32_elapsedtime,lap_33_position,lap_33_laptime,lap_33_elapsedtime,lap_34_position,lap_34_laptime,lap_34_elapsedtime,lap_35_position,lap_35_laptime,lap_35_elapsedtime,lap_36_position,lap_36_laptime,lap_36_elapsedtime,lap_37_position,lap_37_laptime,lap_37_elapsedtime,lap_38_position,lap_38_laptime,lap_38_elapsedtime,lap_39_position,lap_39_laptime,lap_39_elapsedtime,lap_40_position,lap_40_laptime,lap_40_elapsedtime,lap_41_position,lap_41_laptime,lap_41_elapsedtime,lap_42_position,lap_42_laptime,lap_42_elapsedtime,lap_43_position,lap_43_laptime,lap_43_elapsedtime,lap_44_position,lap_44_laptime,lap_44_elapsedtime,lap_45_position,lap_45_laptime,lap_45_elapsedtime
2017-2018,Audi ISU World Cup 2017/18 - Seoul (KOR),500m,-1,m,Quarterfinals,1,2,4,,,188.0,KWAKYoon-Gy,6120,KOR,"
						40.954 
					",Q,,5.0,4.0,7.20,7.20,4.0,8.75,15.95,4.0,8.20,24.15,4.0,8.38,32.53,4.0,8.57,41.085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Audi ISU World Cup 2017/18 - Dordrecht (NED),1500m,-1,w,Semifinals,2,1,5,,,7.0,SCHULTINGSuzanne,8493,NED,"
						2:22.135 
					",QA,,14.0,4.0,9.51,9.51,4.0,13.3,22.81,3.0,10.85,33.66,4.0,10.37,44.03,3.0,9.83,53.86,3.0,9.9,1:03.76,3.0,10.09,1:13.85,3.0,10.19,1:24.04,3.0,9.81,1:33.85,3.0,9.78,1:43.63,3.0,9.59,1:53.22,2.0,9.38,2:02.60,2.0,9.59,2:12.19,,9.94,2:22.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Audi ISU World Cup 2017/18 - Dordrecht (NED),1500m,-1,w,Semifinals,3,7,5,,,9.0,AriannaFONTANA,6227,ITA,"
						2:21.765 
					",,,14.0,3.0,9.28,9.28,2.0,11.4,20.68,2.0,10.65,31.33,2.0,10.39,41.72,2.0,9.94,51.66,2.0,9.57,1:01.23,2.0,9.44,1:10.67,2.0,9.51,1:20.18,1.0,9.8,1:29.98,2.0,9.94,1:39.92,5.0,10.16,1:50.08,5.0,10.15,2:00.23,7.0,10.42,2:10.65,7.0,11.11,2:21.765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Audi ISU World Cup 2017/18 - Seoul (KOR),500m,-1,m,Heats,3,4,3,,,2.0,KNEGTSjinkie,7352,NED,"
						41.524 
					",,,5.0,3.0,6.96,6.96,3.0,8.99,15.95,3.0,8.23,24.18,3.0,8.46,32.64,4.0,,41.524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Audi ISU World Cup 2017/18 - Seoul (KOR),500m,-1,m,Heats,7,3,4,,,188.0,KWAKYoon-Gy,6120,KOR,"
						41.158 
					",q,,5.0,4.0,7.10,7.10,4.0,8.76,15.86,4.0,8.28,24.14,4.0,8.35,32.49,3.0,8.70,41.158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Audi ISU World Cup 2017/18 - Seoul (KOR),500m,-1,m,Preliminaries,8,1,5,,,188.0,KWAKYoon-Gy,6120,KOR,"
						42.193 
					",Q,,5.0,4.0,7.32,7.32,3.0,9.35,16.67,2.0,8.49,25.16,2.0,8.52,33.68,1.0,,42.193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Audi ISU World Cup 2017/18 - Seoul (KOR),500m,-1,m,Preliminaries,14,1,3,,,2.0,KNEGTSjinkie,7352,NED,"
						41.472 
					",Q,,5.0,3.0,7.11,7.11,2.0,8.83,15.94,1.0,8.47,24.41,1.0,8.51,32.92,1.0,8.56,41.472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Audi ISU World Cup 2017/18 - Seoul (KOR),500m,-1,m,Semifinals,1,3,4,,,188.0,KWAKYoon-Gy,6120,KOR,"
						40.871 
					",QB,,5.0,4.0,7.09,7.09,4.0,8.66,15.75,4.0,8.33,24.08,4.0,8.34,32.42,3.0,8.47,40.871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Audi ISU World Cup 2017/18 - Dordrecht (NED),500m,-1,w,Semifinals,2,4,4,,,9.0,AriannaFONTANA,6227,ITA,"
						44.157 
					",QB,,5.0,4.0,7.47,7.47,4.0,9.29,16.76,4.0,8.67,25.43,4.0,9.12,34.55,4.0,9.60,44.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),1500m,-1,w,Semifinals,3,4,3,,,9.0,AriannaFONTANA,6227,ITA,"
						2:32.514 
					",QB,,14.0,8.0,11.45,11.45,8.0,15.01,26.46,8.0,14.81,41.27,8.0,13.54,54.81,8.0,11.06,1:05.87,8.0,10.63,1:16.50,8.0,10.35,1:26.85,8.0,9.79,1:36.64,6.0,9.46,1:46.10,6.0,9.22,1:55.32,5.0,9.03,2:04.35,4.0,9.14,2:13.49,4.0,9.31,2:22.80,4.0,9.72,2:32.514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Audi ISU World Cup 2017/18 - Dordrecht (NED),1500m,-1,m,Preliminaries,4,1,6,,,2.0,KNEGTSjinkie,7352,NED,"
						2:15.306 
					",Q,,14.0,6.0,8.64,8.64,5.0,9.73,18.37,5.0,9.77,28.14,6.0,10.81,38.95,6.0,10.88,49.83,5.0,10.16,59.99,6.0,10.24,1:10.23,3.0,9.80,1:20.03,1.0,9.42,1:29.45,1.0,9.37,1:38.82,1.0,9.09,1:47.91,1.0,9.07,1:56.98,1.0,9.04,2:06.02,1.0,9.28,2:15.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Audi ISU World Cup 2017/18 - Dordrecht (NED),1500m,-1,m,Preliminaries,8,1,4,,,188.0,KWAKYoon-Gy,6120,KOR,"
						2:24.463 
					",Q,,14.0,7.0,11.10,11.10,7.0,11.57,22.67,7.0,11.83,34.50,6.0,11.73,46.23,1.0,10.48,56.71,2.0,10.69,1:07.40,4.0,10.67,1:18.07,5.0,10.18,1:28.25,6.0,10.20,1:38.45,6.0,10.01,1:48.46,5.0,9.54,1:58.00,4.0,8.82,2:06.82,1.0,8.77,2:15.59,1.0,8.87,2:24.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Audi ISU World Cup 2017/18 - Dordrecht (NED),1500m,-1,m,Semifinals,3,2,2,,,2.0,KNEGTSjinkie,7352,NED,"
						2:19.589 
					",QA,,14.0,4.0,10.39,10.39,1.0,13.62,24.01,2.0,11.49,35.50,2.0,11.00,46.50,2.0,10.54,57.04,2.0,9.73,1:06.77,3.0,9.73,1:16.50,2.0,8.93,1:25.43,2.0,9.28,1:34.71,3.0,9.27,1:43.98,2.0,8.98,1:52.96,2.0,8.68,2:01.64,2.0,9.02,2:10.66,2.0,8.92,2:19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Audi ISU World Cup 2017/18 - Dordrecht (NED),1500m,-1,m,Semifinals,3,3,1,,,188.0,KWAKYoon-Gy,6120,KOR,"
						2:19.717 
					",QB,,14.0,6.0,10.69,10.69,7.0,14.06,24.75,7.0,11.35,36.10,7.0,10.99,47.09,7.0,10.49,57.58,7.0,9.70,1:07.28,4.0,9.28,1:16.56,5.0,9.03,1:25.59,5.0,9.43,1:35.02,5.0,9.21,1:44.23,5.0,9.00,1:53.23,3.0,8.54,2:01.77,3.0,8.99,2:10.76,3.0,8.95,2:19.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Audi ISU World Cup 2017/18 - Dordrecht (NED),1500m,-1,m,Heats,7,1,5,,,188.0,KWAKYoon-Gy,6120,KOR,"
						2:18.428 
					",Q,,14.0,3.0,10.44,10.44,3.0,12.7,23.14,3.0,11.51,34.65,4.0,10.13,44.78,2.0,9.77,54.55,1.0,9.67,1:04.22,2.0,10.08,1:14.30,3.0,9.7,1:24.00,3.0,9.57,1:33.57,3.0,9.4,1:42.97,3.0,9.02,1:51.99,3.0,8.83,2:00.82,2.0,8.65,2:09.47,1.0,8.95,2:18.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Audi ISU World Cup 2017/18 - Dordrecht (NED),1500m,-1,m,Heats,7,2,1,,,2.0,KNEGTSjinkie,7352,NED,"
						2:18.553 
					",Q,,14.0,1.0,9.92,9.92,1.0,12.92,22.84,1.0,11.55,34.39,2.0,10.11,44.50,3.0,10.07,54.57,4.0,9.76,1:04.33,1.0,9.78,1:14.11,1.0,9.65,1:23.76,1.0,9.57,1:33.33,1.0,9.39,1:42.72,1.0,9.06,1:51.78,1.0,8.83,2:00.61,1.0,8.81,2:09.42,2.0,9.13,2:18.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),1500m,-1,w,Heats,4,PEN,1,,,7.0,SCHULTINGSuzanne,8493,NED,"
						PEN
					",,,14.0,1.0,10.39,,2.0,14.13,,2.0,12.92,,3.0,12.46,,3.0,11.62,,2.0,10.78,,3.0,9.98,,3.0,9.60,,4.0,9.97,,3.0,9.77,,2.0,9.72,,2.0,9.79,,2.0,9.96,,2.0,9.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),1500m,-1,w,Heats,6,1,5,,,9.0,AriannaFONTANA,6227,ITA,"
						2:28.101 
					",Q,,14.0,6.0,10.23,10.23,6.0,13.81,24.04,6.0,12.07,36.11,6.0,11.99,48.10,6.0,10.53,58.63,6.0,10.62,1:09.25,3.0,9.82,1:19.07,3.0,10.03,1:29.10,3.0,9.98,1:39.08,3.0,9.81,1:48.89,1.0,9.65,1:58.54,1.0,9.74,2:08.28,1.0,9.88,2:18.16,1.0,9.95,2:28.101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Audi ISU World Cup 2017/18 - Dordrecht (NED),1000m,-1,w,Heats,2,1,3,,,9.0,AriannaFONTANA,6227,ITA,"
						1:32.615 
					",Q,,9.0,2.0,13.91,13.91,3.0,10.46,24.37,3.0,10.06,34.43,3.0,9.92,44.35,3.0,9.55,53.90,3.0,9.65,1:03.55,3.0,9.58,1:13.13,2.0,9.67,1:22.80,1.0,9.81,1:32.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Audi ISU World Cup 2017/18 - Dordrecht (NED),1000m,-1,w,Heats,7,1,1,,,7.0,SCHULTINGSuzanne,8493,NED,"
						1:31.026 
					",Q,,9.0,1.0,13.46,13.46,1.0,10.15,23.61,1.0,9.92,33.53,1.0,9.78,43.31,1.0,9.52,52.83,1.0,9.37,1:02.20,1.0,9.44,1:11.64,1.0,9.61,1:21.25,1.0,9.77,1:31.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Audi ISU World Cup 2017/18 - Dordrecht (NED),1000m,-1,w,Semifinals,2,2,6,,,7.0,SCHULTINGSuzanne,8493,NED,"
						1:29.912 
					",QA,,9.0,1.0,13.49,13.49,1.0,10.00,23.49,2.0,9.61,33.10,2.0,9.53,42.63,2.0,9.48,52.11,2.0,9.32,1:01.43,2.0,9.39,1:10.82,2.0,9.58,1:20.40,2.0,9.51,1:29.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Audi ISU World Cup 2017/18 - Dordrecht (NED),1000m,-1,w,Preliminaries,3,1,2,,,7.0,SCHULTINGSuzanne,8493,NED,"
						1:31.701 
					",Q,,9.0,2.0,13.55,13.55,2.0,10.23,23.78,1.0,9.76,33.54,1.0,9.78,43.32,1.0,9.81,53.13,2.0,9.82,1:02.95,2.0,9.77,1:12.72,1.0,9.39,1:22.11,1.0,9.59,1:31.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Audi ISU World Cup 2017/18 - Dordrecht (NED),1000m,-1,w,Preliminaries,8,1,1,,,9.0,AriannaFONTANA,6227,ITA,"
						1:33.753 
					",Q,,9.0,2.0,15.05,15.05,2.0,10.60,25.65,2.0,10.00,35.65,2.0,9.96,45.61,3.0,10.01,55.62,3.0,9.74,1:05.36,3.0,9.38,1:14.74,2.0,9.44,1:24.18,1.0,9.57,1:33.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),1000m,-1,w,Heats,3,1,3,,,9.0,AriannaFONTANA,6227,ITA,"
						1:35.970 
					",Q,,9.0,4.0,14.67,14.67,4.0,11.49,26.16,2.0,10.85,37.01,1.0,10.18,47.19,2.0,10.30,57.49,1.0,9.63,1:07.12,1.0,9.57,1:16.69,1.0,9.59,1:26.28,,,PHOTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),1000m,-1,w,Heats,4,2,1,,,7.0,SCHULTINGSuzanne,8493,NED,"
						1:32.390 
					",Q,,9.0,1.0,13.97,13.97,1.0,10.33,24.30,2.0,9.89,34.19,2.0,9.82,44.01,2.0,9.84,53.85,1.0,9.54,1:03.39,1.0,9.59,1:12.98,2.0,9.66,1:22.64,2.0,9.75,1:32.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),1000m,-1,w,Preliminaries,2,1,4,,,7.0,SCHULTINGSuzanne,8493,NED,"
						1:30.593 
					",Q,,9.0,3.0,12.98,12.98,3.0,9.39,22.37,3.0,9.41,31.78,3.0,9.53,41.31,3.0,9.70,51.01,3.0,9.98,1:00.99,1.0,9.75,1:10.74,1.0,9.89,1:20.63,1.0,9.96,1:30.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),1000m,-1,w,Preliminaries,6,1,4,,,9.0,AriannaFONTANA,6227,ITA,"
						1:35.462 
					",Q,,9.0,3.0,14.41,14.41,4.0,10.44,24.85,4.0,10.33,35.18,4.0,10.36,45.54,4.0,10.18,55.72,5.0,10.10,1:05.82,1.0,9.72,1:15.54,1.0,9.76,1:25.30,1.0,10.17,1:35.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),1000m,-1,w,Quarterfinals,1,5,5,,,9.0,AriannaFONTANA,6227,ITA,"
						1:32.107 
					",,,9.0,3.0,13.96,13.96,4.0,10.59,24.55,4.0,9.88,34.43,5.0,9.72,44.15,5.0,9.45,53.60,5.0,9.23,1:02.83,5.0,9.26,1:12.09,5.0,9.54,1:21.63,5.0,10.47,1:32.107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),1000m,-1,w,Quarterfinals,2,2,4,,,7.0,SCHULTINGSuzanne,8493,NED,"
						1:30.699 
					",Q,,9.0,4.0,14.02,14.02,4.0,10.50,24.52,4.0,9.87,34.39,3.0,9.31,43.70,3.0,9.47,53.17,3.0,9.26,1:02.43,2.0,9.24,1:11.67,2.0,9.35,1:21.02,2.0,9.68,1:30.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),1000m,-1,w,Semifinals,2,3,4,,,7.0,SCHULTINGSuzanne,8493,NED,"
						1:30.145 
					",QB,,9.0,2.0,13.56,13.56,3.0,10.34,23.90,3.0,10.00,33.90,2.0,9.55,43.45,3.0,9.39,52.84,3.0,9.21,1:02.05,3.0,9.14,1:11.19,3.0,9.41,1:20.60,3.0,9.53,1:30.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Audi ISU World Cup 2017/18 - Dordrecht (NED),500m,-1,m,Preliminaries,13,1,1,,,2.0,KNEGTSjinkie,7352,NED,"
						41.894 
					",Q,,5.0,2.0,7.06,7.06,2.0,9.14,16.20,2.0,8.41,24.61,2.0,8.64,33.25,1.0,8.64,41.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Audi ISU World Cup 2017/18 - Dordrecht (NED),500m,-1,m,Semifinals,2,2,4,,,2.0,KNEGTSjinkie,7352,NED,"
						40.888 
					",QA,,5.0,3.0,6.99,6.99,3.0,8.89,15.88,3.0,8.28,24.16,3.0,8.34,32.50,,8.38,40.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Audi ISU World Cup 2017/18 - Dordrecht (NED),500m,-1,m,Quarterfinals,1,1,2,,,2.0,KNEGTSjinkie,7352,NED,"
						41.579 
					",Q,,5.0,3.0,7.13,7.13,4.0,9.04,16.17,4.0,8.44,24.61,3.0,8.24,32.85,1.0,8.72,41.579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),500m,-1,w,Preliminaries,4,2,5,,,7.0,SCHULTINGSuzanne,8493,NED,"
						44.465 
					",Q,,5.0,3.0,7.42,7.42,3.0,9.42,16.84,2.0,9.06,25.90,2.0,9.1,35.00,2.0,9.45,44.465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),500m,-1,w,Preliminaries,6,1,3,,,9.0,AriannaFONTANA,6227,ITA,"
						44.484 
					",Q,,5.0,1.0,7.26,7.26,1.0,9.55,16.81,1.0,9.01,25.82,1.0,9.22,35.04,1.0,9.45,44.484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),500m,-1,w,Quarterfinals,2,1,1,,,9.0,AriannaFONTANA,6227,ITA,"
						44.437 
					",Q,,5.0,1.0,7.45,7.45,1.0,9.68,17.13,1.0,8.93,26.06,1.0,9.04,35.10,1.0,9.35,44.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),500m,-1,w,Heats,1,1,1,,,9.0,AriannaFONTANA,6227,ITA,"
						44.302 
					",Q,,5.0,1.0,7.28,7.28,1.0,9.66,16.94,1.0,8.96,25.90,1.0,9.10,35.00,1.0,9.30,44.302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),500m,-1,w,Heats,6,PEN,2,,,7.0,SCHULTINGSuzanne,8493,NED,"
						PEN
					",,,5.0,1.0,7.20,7.20,1.0,9.48,16.68,1.0,8.89,25.57,4.0,9.55,35.12,4.0,33.53,1:08.603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),500m,-1,w,Semifinals,1,1,3,,,9.0,AriannaFONTANA,6227,ITA,"
						43.745 
					",QA,,5.0,2.0,7.21,7.21,2.0,9.43,16.64,2.0,8.88,25.52,1.0,8.95,34.47,1.0,9.28,43.745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
